地名,センター（center.csvを使わない場合は空白化）,燃やすごみ,蛍光灯・乾電池,燃やさないごみ,かん,びん,剪定枝・草,ペットボトル・衣類,紙類
篠原町１丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
篠原町２丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
篠原町３丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
カピル専門店,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
篠原町４丁目南,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
篠原町４丁目北,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
篠原町５丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
ウィズマークス加古川駅前,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
リトハ加古川,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
居屋河原,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
